sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c,breakfast,lunch,dinner,food_name_clean,breakfast_cluster,lunch_cluster,dinner_cluster
411,Tengra fish,19.2,6.4,2.3,4.07,144.0,270.0,2.0,18.0,0,0,0,tengra fish,,,
412,Prawn,19.1,1.0,0.8,4.31,89.0,323.0,5.3,59.32,0,0,1,prawn,,,0
413,Crab small,11.2,9.8,9.1,10.88,169.0,1606.0,34.41,59.01,0,0,1,crab small,,,1
414,Rahu,16.7,1.4,4.4,5.98,97.0,650.0,1.0,22.0,0,0,1,rahu,,,0
415,Dry fish (Sun dried ),64.9,4.21,16.9,6.79,366.0,777.9,19.34,58.85,0,0,0,dry fish (sun dried ),,,
416,Dried Fish,58.5,11.14,72.43,6.2,622.48,626.23,18.71,58.5,0,0,0,dried fish,,,
417,Salted Dry Fish,62.2,6.03,18.4,6.65,377.0,748.85,18.85,58.84,0,0,0,salted dry fish,,,
418,Smoked Dry Fish,70.8,7.23,11.6,7.17,391.0,852.58,20.93,58.81,0,0,0,smoked dry fish,,,
419,Buffalo milk,4.3,6.5,7.4,3.75,105.0,210.0,0.2,1.0,1,0,0,buffalo milk,0,,
420,Cow milk,3.2,4.1,4.4,3.28,67.0,120.0,0.2,2.0,1,0,0,cow milk,0,,
421,Curd,3.1,4.0,3.0,3.42,60.0,149.0,0.2,1.0,1,1,1,curd,0,0,1
422,Dairy's milk,3.0,2.94,26.51,3.25,141.33,103.87,4.49,59.27,1,0,0,dairy's milk,0,,
423,Goat milk,3.3,4.5,4.6,3.53,72.0,170.0,0.3,1.0,1,0,0,goat milk,0,,
424,Sheep milk,5.4,6.0,5.1,3.54,95.0,170.0,5.22,59.33,1,0,0,sheep milk,0,,
425,Paneer,23.7,26.0,0.6,0.3,331.0,441.0,4.5,58.96,1,1,1,paneer,2,3,2
426,Cheese,24.1,25.1,6.3,6.82,348.0,790.0,2.1,58.88,1,0,0,cheese,2,,
427,Human milk,1.1,3.4,7.4,2.81,65.0,28.0,2.37,3.0,1,0,0,human milk,0,,
428,Buttermilk,0.8,1.1,0.5,2.78,15.0,30.0,0.1,59.47,1,0,0,buttermilk,0,,
429,Khuwa (whole buffalo milk),14.6,31.2,20.5,6.16,421.0,650.0,5.8,58.8,1,0,0,khuwa (whole buffalo milk),2,,
430,Skimmed milk powder (cow's milk),38.0,0.1,51.0,9.82,357.0,1370.0,1.4,5.0,1,0,0,skimmed milk powder (cow's milk),1,,
431,"Channa, buffalo's milk",13.4,23.0,7.9,5.22,292.0,480.0,12.74,59.01,1,0,0,"channa, buffalo's milk",2,,
432,Butter,21.95,81.0,0.0,5.31,729.0,457.88,14.87,58.39,0,0,0,butter,,,
433,Ghee cow,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,ghee cow,,,
434,Ghee (Buffalo),26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,ghee (buffalo),,,
435,Ghee vegetable,30.77,100.0,5.47,5.9,900.0,543.08,18.62,57.99,0,0,0,ghee vegetable,,,
436,Vegetable cooking oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,vegetable cooking oil,,,
437,Hydrogenated oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,hydrogenated oil,,,
438,Sunflower oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,sunflower oil,,,
439,Soya bean oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,soya bean oil,,,
440,Corn oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,corn oil,,,
441,Coconut oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,coconut oil,,,
442,Cotton seed oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,cotton seed oil,,,
443,Olive oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,olive oil,,,
444,Ground nut oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,ground nut oil,,,
445,Seasome oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,seasome oil,,,
446,Linseed oil,26.72,100.0,0.0,5.79,900.0,535.17,17.49,58.14,0,0,0,linseed oil,,,
447,Areca nut,4.9,4.4,47.2,11.2,249.0,50.0,1.5,5.0,0,1,1,areca nut,,1,3
448,Betel leaves,3.1,0.8,6.1,2.3,44.0,230.0,7.0,59.4,0,1,1,betel leaves,,0,1
449,"Biscuit, salty",6.6,32.4,54.6,3.61,534.0,129.39,7.93,58.71,1,0,0,"biscuit, salty",1,,
450,"Biscuit, sweet",6.4,15.2,71.9,3.33,450.0,79.09,6.61,58.83,1,0,0,"biscuit, sweet",1,,
451,Brown bread,8.8,1.4,49.0,1.2,244.0,18.0,2.2,59.14,1,0,0,brown bread,1,,
452,Bread white,7.8,0.7,51.9,0.2,245.0,11.0,1.1,59.14,1,0,0,bread white,1,,
453,Corn flakes,7.4,0.5,30.9,1.1,157.55,134.72,5.26,59.24,1,0,0,corn flakes,0,,
454,Canu sugar,0.1,0.0,99.4,0.0,398.0,2.44,3.9,58.92,1,0,0,canu sugar,1,,
455,Coconut tender,0.9,1.1,6.3,2.7,41.0,10.0,0.9,59.43,1,0,0,coconut tender,0,,
456,coconut water,1.4,0.1,4.4,0.0,24.0,24.0,0.1,2.0,1,0,0,coconut water,0,,
457,Grounnut cake,40.9,7.4,38.8,3.2,386.0,213.0,8.46,58.91,0,0,0,grounnut cake,,,
458,Honey,0.3,0.0,79.5,2.9,319.0,5.0,0.9,4.0,1,0,0,honey,1,,
459,jaggary white,3.7,0.1,85.2,3.21,357.0,63.0,7.2,58.96,1,0,0,jaggary white,1,,
460,Chaku,3.9,0.5,89.7,3.24,379.0,65.0,9.6,58.93,1,0,0,chaku,1,,
461,Dhatelo,27.5,30.4,29.9,2.7,504.0,384.27,12.51,58.72,1,0,0,dhatelo,2,,
462,Jack fruit seeds,6.6,0.4,25.8,1.5,133.0,50.0,1.5,11.0,1,0,0,jack fruit seeds,0,,
463,Jaggary cane,0.4,0.1,95.0,3.33,383.0,80.0,11.4,0.0,1,0,0,jaggary cane,1,,
464,Jandh,2.0,0.08,0.9,2.72,2.6,20.2,0.02,59.49,1,0,0,jandh,0,,
465,Mahuwa flowers,4.4,0.6,72.0,1.7,311.0,140.0,15.0,7.0,1,0,0,mahuwa flowers,1,,
466,Malberry leaves powder,13.0,2.1,38.2,8.5,293.0,162.6,6.85,59.05,0,1,1,malberry leaves powder,,2,0
467,Papad,18.8,0.3,52.4,3.21,228.0,80.0,17.2,0.0,1,1,1,papad,1,2,0
468,Pumpkin seed,24.3,47.2,15.6,0.2,584.0,50.0,5.5,1.0,0,1,1,pumpkin seed,,3,2
469,Sugacane juice,0.1,0.2,9.1,2.7,39.0,10.0,1.1,59.44,1,0,0,sugacane juice,0,,
470,Sohan papad,6.3,25.9,63.5,2.1,513.0,100.78,7.33,58.74,1,1,1,sohan papad,1,3,2
471,Yarsagumba Capsule,22.0,5.86,42.7,10.35,312.0,493.09,22.69,58.97,1,0,0,yarsagumba capsule,1,,
472,Cooked rice,2.5,0.17,29.4,3.18,129.0,90.63,4.18,59.29,0,1,1,cooked rice,,0,1
473,Dal(pulses),3.3,0.6,7.4,3.34,48.7,135.94,4.27,59.4,0,1,1,dal(pulses),,0,1
474,Green vegetables,2.0,2.61,7.3,2.32,61.0,122.2,4.07,59.39,0,0,0,green vegetables,,,
475,Mixed vegetables,1.94,2.51,7.5,2.9,61.0,122.58,4.08,59.39,0,0,0,mixed vegetables,,,
476,Whole wheat bread,8.0,1.0,44.0,2.93,218.0,30.0,3.0,59.17,1,0,0,whole wheat bread,1,,
477,Maize dough( Dhindo),2.8,1.2,22.2,2.73,111.0,6.0,0.72,59.33,1,1,1,maize dough( dhindo),0,0,1
478,Bengalgram vegetables,5.92,1.85,21.5,3.07,127.0,71.1,1.62,59.3,0,0,0,bengalgram vegetables,,,
479,Samosa,4.6,14.8,36.7,0.48,298.0,110.39,5.77,59.05,0,0,1,samosa,,,2
480,Aaluchap,4.2,11.5,29.6,1.01,238.0,115.43,5.38,59.13,0,0,1,aaluchap,,,1
481,Pakauda,5.4,21.1,37.3,3.05,361.0,131.21,6.61,58.96,0,0,1,pakauda,,,2
482,Sel,4.5,11.7,61.3,0.07,225.0,61.08,4.58,59.15,1,0,0,sel,1,,
483,jeri,2.4,21.3,60.4,3.23,445.0,62.67,6.09,58.84,1,0,0,jeri,1,,
484,Buff Momo,11.7,7.74,24.6,0.89,215.0,197.65,6.81,59.15,0,1,1,buff momo,,0,1
485,Chicken Momo,9.8,8.06,23.6,0.55,206.0,178.91,6.37,59.17,0,1,1,chicken momo,,0,1
486,Paneer Momo,9.3,11.7,28.1,0.84,256.0,171.13,6.6,59.1,0,1,1,paneer momo,,3,2
487,Paneer+Veg Momo,4.7,2.62,25.1,0.91,143.0,117.86,4.75,59.27,0,1,1,paneer+veg momo,,0,1
488,Vegetable Momo,4.4,2.25,27.6,1.17,148.0,110.84,4.68,59.26,0,1,1,vegetable momo,,0,1
489,Aalu Naan,5.3,0.33,41.9,0.08,175.0,91.61,4.65,59.22,1,1,1,aalu naan,0,0,1
490,Plain naan,7.6,1.53,57.9,3.32,269.0,99.09,5.64,59.09,1,1,1,plain naan,1,1,3
491,Butter naan,7.5,4.44,55.1,0.05,283.0,97.79,5.66,59.07,0,0,0,butter naan,,,
492,Kimma naan( mutton),11.1,7.99,30.2,0.21,261.0,181.39,6.87,59.09,1,1,1,kimma naan( mutton),1,0,1
493,Chicken naan,9.6,6.28,39.3,0.11,252.0,148.03,6.26,59.11,1,1,1,chicken naan,1,0,3
494,Veg naan,6.4,3.53,40.8,0.29,221.0,109.45,5.3,59.16,1,1,1,veg naan,1,0,1
495,Paneer naan,10.07,7.73,38.1,0.08,256.0,156.26,6.43,59.1,1,1,1,paneer naan,1,0,3
496,Maize: Wheat: soybean,22.2,14.9,55.7,4.3,446.0,273.1,10.25,58.81,1,1,1,maize: wheat: soybean,1,3,2
497,"Maize, wheat and germinated green mung",17.0,11.7,65.0,3.66,433.0,147.73,5.5,29.6,1,0,0,"maize, wheat and germinated green mung",1,,
498,"Amaranths seed, barley, soybean",25.6,12.5,54.5,3.97,433.0,208.64,4.4,16.2,1,1,1,"amaranths seed, barley, soybean",1,2,0
499,"Germinated buckwheat, amaranths seed, soybean",24.4,3.3,54.9,3.74,386.0,168.66,2.54,16.1,1,1,1,"germinated buckwheat, amaranths seed, soybean",1,2,0
500,"Foxtail millet, Maize, soybean",21.1,3.4,54.9,3.63,453.0,141.36,2.7,15.8,1,1,1,"foxtail millet, maize, soybean",1,2,0
501,"Germinated buckwheat, G green mung, Maize",18.6,5.1,9.1,3.85,396.0,199.69,3.1,22.6,1,0,0,"germinated buckwheat, g green mung, maize",0,,
502,"Uwa, Maize and soybean",21.6,16.6,57.5,3.77,449.0,167.42,3.8,14.1,0,1,1,"uwa, maize and soybean",,3,2
503,"Barley, Maize and soybean",22.3,11.8,57.5,3.67,425.0,151.48,2.5,13.8,1,1,1,"barley, maize and soybean",1,2,0
504,"Proso millet,,wheat, Green Mung",18.4,2.8,72.8,3.41,390.0,99.78,2.6,13.3,1,0,0,"proso millet,,wheat, green mung",1,,
505,Wheat and Green mung (1:1),15.0,1.9,72.0,1.3,365.1,61.6,13.7,58.95,1,0,0,wheat and green mung (1:1),1,,
506,Barley and black gram (1:1),15.1,1.7,70.7,2.7,358.5,8.7,8.7,58.97,1,0,0,barley and black gram (1:1),1,,
507,"Wheat, rice and green mung",10.2,7.0,73.7,1.6,398.6,30.0,2.3,58.91,1,1,1,"wheat, rice and green mung",1,1,3
508,"Rice, maize and Bengal gram",8.4,2.6,79.7,1.8,375.8,35.0,2.2,58.94,0,1,1,"rice, maize and bengal gram",,1,3
509,"Millet, rice and and Blackgram",12.9,3.4,74.1,1.4,378.6,107.0,20.0,58.92,1,1,1,"millet, rice and and blackgram",1,1,3
510,Millet and blackgram (1:1),13.8,4.4,66.2,3.5,359.6,146.0,120.0,58.93,1,0,0,millet and blackgram (1:1),1,,
511,Rice and blackgram (1:1),12.3,4.9,70.5,0.7,375.3,56.0,25.0,58.94,0,1,1,rice and blackgram (1:1),,1,3
512,"Rice, wheat and bengalgram",9.3,11.8,71.2,0.9,428.2,101.0,4.0,58.86,1,1,1,"rice, wheat and bengalgram",1,1,3
513,Jaulo (rice and green mung) 2:1,11.4,5.2,11.4,2.0,300.0,120.0,6.0,59.05,0,1,1,jaulo (rice and green mung) 2:1,,0,1
514,Amala,2.0,0.0,2.1,1.4,16.0,20.5,1.76,29.5,1,0,0,amala,0,,
515,Asparagus,2.1,0.3,3.8,0.2,27.0,22.5,1.91,20.87,0,0,0,asparagus,,,
516,Bander bheti,2.4,0.2,27.3,3.1,320.0,45.1,4.67,11.7,0,1,1,bander bheti,,0,1
517,Banderi saag,3.5,0.3,4.3,0.8,33.0,89.0,3.19,59.43,0,1,1,banderi saag,,0,1
518,Ban tarul,1.7,0.0,17.7,1.3,77.0,43.0,43.0,5.45,0,1,1,ban tarul,,0,1
519,Bethe sag,7.1,0.0,8.8,2.0,64.0,400.0,9.66,59.34,0,1,1,bethe sag,,0,1
520,"Bhriingraj, antalicha",3.1,0.8,64.0,1.7,46.0,224.0,6.81,5.45,0,1,1,"bhriingraj, antalicha",,1,3
521,Chamsur jhar,3.6,0.6,5.7,2.3,43.0,382.0,8.93,133.3,0,1,1,chamsur jhar,,0,1
522,chinia,6.1,0.0,8.7,1.5,59.0,157.36,4.92,3.7,0,1,1,chinia,,0,1
523,Chitlang sag,2.4,0.2,6.7,1.1,38.0,4.0,1.64,24.8,0,1,1,chitlang sag,,0,1
524,Chutro,2.5,6.9,16.2,1.4,87.0,114.17,4.18,59.35,0,1,1,chutro,,0,1
525,Damaiphal,0.5,0.3,11.5,1.7,51.0,60.0,2.82,59.41,0,1,1,damaiphal,,0,1
526,"Wild mushroom,dry",12.7,1.65,37.5,10.89,208.75,343.74,16.33,59.14,0,1,1,"wild mushroom,dry",,2,0
527,Frase tarul,1.6,0.11,21.0,1.5,91.0,90.74,3.82,59.35,0,1,1,frase tarul,,0,1
528,Gande,2.1,0.3,11.0,2.5,55.0,105.5,16.25,7.56,0,1,1,gande,,0,1
529,Ghod tapre,3.0,0.2,13.6,2.6,68.0,155.94,8.0,12.91,0,1,1,ghod tapre,,0,1
530,Ginare dried,22.0,2.34,37.7,12.0,238.0,232.4,7.86,59.11,0,1,1,ginare dried,,2,0
531,Githa,1.5,0.1,22.0,1.3,96.0,61.5,3.2,5.6,0,1,1,githa,,0,1
532,Guyelo,4.6,0.7,17.9,7.8,96.0,70.2,3.57,1.6,1,0,0,guyelo,0,,
533,Hathale sag,3.1,0.3,3.8,1.3,31.0,76.6,0.02,9514.0,0,1,1,hathale sag,,0,1
534,Jamun,4.0,0.0,6.0,1.4,40.0,23.15,1.95,59.43,1,0,0,jamun,0,,
535,Kali Kath,1.59,0.69,25.4,5.76,114.0,95.09,4.12,59.31,0,1,1,kali kath,,0,1
536,Kali mayel,0.7,0.62,21.3,8.3,89.0,98.1,3.97,59.35,0,1,1,kali mayel,,0,1
537,Kamal phal,1.8,0.3,10.3,4.7,51.0,21.1,2.04,59.42,1,0,0,kamal phal,0,,
538,Kane saag,2.3,0.1,3.2,1.7,23.0,820.8,7.0,14.39,0,1,1,kane saag,,0,1
539,Kavro,2.8,0.33,25.8,1.6,114.0,95.87,4.13,59.31,0,1,1,kavro,,0,1
540,Khaneu,1.4,0.3,5.6,6.1,31.0,180.7,5.03,59.42,0,1,1,khaneu,,0,1
541,Koiralo,1.0,3.4,8.1,0.8,54.0,75.9,3.11,59.4,0,1,1,koiralo,,0,1
542,Kikur diano,1.6,0.0,2.8,1.2,17.0,20.1,1.83,3.66,0,1,1,kikur diano,,0,1
543,"Latte saag, green stem",6.4,0.0,11.4,2.4,71.0,158.54,4.92,59.37,0,1,1,"latte saag, green stem",,0,1
544,"Latte saag, red stem",4.4,0.0,9.5,1.1,48.0,136.39,4.3,59.4,0,1,1,"latte saag, red stem",,0,1
545,Lude sag,4.7,0.2,7.1,5.5,49.0,406.1,9.66,59.36,0,1,1,lude sag,,0,1
546,Malo,1.1,1.52,25.37,1.6,118.0,80.26,3.79,78.9,0,1,1,malo,,0,1
547,Maslahare,3.3,0.05,14.1,2.9,70.0,123.24,4.24,59.37,0,1,1,maslahare,,0,1
548,Mayal,0.4,0.2,16.2,1.8,68.0,86.89,3.53,59.38,0,1,1,mayal,,0,1
549,Neuro,4.4,0.2,4.2,1.0,36.0,71.53,2.86,59.43,0,1,1,neuro,,0,1
550,Phaper saag,3.9,0.1,3.8,0.8,12.0,140.74,4.21,3.56,0,1,1,phaper saag,,0,1
551,Pidale,2.2,0.1,2.4,1.8,19.0,14.5,1.73,3.7,0,1,1,pidale,,0,1
552,Pudina ( Mint),4.5,0.0,4.6,0.2,38.0,143.98,4.43,16.1,0,1,1,pudina ( mint),,0,1
553,Rato tarul,1.9,0.1,2.3,10.0,100.0,76.9,1.7,3.27,0,1,1,rato tarul,,0,1
554,Sati bayer,2.8,0.5,32.2,1.4,142.0,170.5,5.89,59.26,1,0,0,sati bayer,0,,
555,Sisnu( Stinging Nettle),6.9,0.2,5.0,1.8,53.0,981.3,21.26,5.5,0,1,1,sisnu( stinging nettle),,0,1
556,Sisnu powder dry,25.0,1.9,39.0,8.0,271.0,404.0,23.2,59.04,0,1,1,sisnu powder dry,,2,0
557,Siplican,6.3,0.0,5.8,1.8,50.0,196.0,5.19,165.8,0,1,1,siplican,,0,1
558,Seabuck thron squash,0.1,40.82,0.16,16.0,9.11,2.44,26.6,59.47,1,0,0,seabuck thron squash,2,,
559,Tarul githa,2.2,0.05,3.0,1.6,85.0,128.22,4.44,8.6,0,1,1,tarul githa,,0,1
560,Tarul munta,2.8,0.1,5.0,2.4,33.0,131.72,4.16,16.6,0,1,1,tarul munta,,0,1
561,Theki phal,0.5,0.0,7.5,0.9,33.0,35.1,2.3,2.35,1,0,0,theki phal,0,,
562,Thonte,1.5,0.3,5.8,2.7,29.0,27.67,2.1,6.2,0,1,1,thonte,,0,1
563,Timila Pakche,1.1,0.4,7.2,1.6,37.0,108.68,3.66,53.1,1,0,0,timila pakche,0,,
564,"Timilia, wakche",1.0,0.0,7.4,3.21,37.0,110.64,3.8,17.3,1,0,0,"timilia, wakche",0,,
565,Vyakur,1.6,0.05,26.1,1.8,110.03,83.02,3.99,6.2,0,1,1,vyakur,,0,1
566,Vyakur githa,2.0,0.0,14.0,1.7,66.0,106.67,4.02,7.51,0,1,1,vyakur githa,,0,1
567,Vyakur jhutre,1.5,0.0,18.0,3.19,78.0,98.62,3.99,6.94,0,1,1,vyakur jhutre,,0,1
568,Rara,6.15,19.9,70.0,0.14,484.0,56.0,5.1,58.79,1,0,0,rara,1,,
569,Maggi,7.12,17.9,67.0,0.09,458.0,40.0,1.4,58.83,1,0,0,maggi,1,,
570,Ezee,5.9,16.8,66.4,2.99,440.0,14.9,3.7,58.86,1,0,0,ezee,1,,
571,Yeo's Inst. Noodle,11.4,18.1,61.0,3.01,454.0,19.1,2.9,58.84,0,1,1,yeo's inst. noodle,,3,2
572,Yeo's Inst. Noodle (Curry F1),9.1,18.0,63.6,3.0,453.0,16.4,1.4,58.84,0,1,1,yeo's inst. noodle (curry f1),,3,2
573,Yeo's Inst. Noodle (Spicy F1.),8.8,19.4,63.6,3.03,464.0,21.8,1.9,58.82,0,1,1,yeo's inst. noodle (spicy f1.),,3,2
574,Yeo's Inst. Noodle (Mushroom F1),9.0,17.6,63.0,2.98,446.0,14.0,1.1,58.85,0,1,1,yeo's inst. noodle (mushroom f1),,3,2
575,Ma Ma Inst. Noodle (Chicken F1 Thai),7.3,17.3,65.0,2.99,445.0,15.7,1.6,58.85,0,1,1,ma ma inst. noodle (chicken f1 thai),,3,2
576,Ma Ma Inst. Noodle,6.5,15.6,68.0,3.04,438.0,24.8,2.7,58.86,0,1,1,ma ma inst. noodle,,3,2
577,Ma Ma Inst. Noodle (Shour Shrimp F1),9.7,17.2,64.0,2.97,448.0,10.5,1.7,58.85,0,1,1,ma ma inst. noodle (shour shrimp f1),,3,2
578,Tiger bran Noodles,10.0,1.6,75.0,2.95,357.0,14.7,1.0,58.97,0,1,1,tiger bran noodles,,1,3
579,Surya Noodles,6.2,0.6,79.0,2.96,346.0,15.6,4.0,58.99,0,1,1,surya noodles,,1,3
580,Testy Noodles,7.0,0.4,80.0,2.96,352.0,14.5,2.8,58.98,0,1,1,testy noodles,,1,3
581,Egg steam Noodle (Tiger Br. Coiled),6.8,1.3,77.6,3.01,349.0,25.5,0.5,58.98,1,1,1,egg steam noodle (tiger br. coiled),1,1,3
582,Gauri Shankar Noodle,9.2,0.46,76.0,2.92,344.0,9.3,0.7,58.99,0,1,1,gauri shankar noodle,,1,3
583,San Noodle,4.6,0.19,81.0,2.97,344.0,17.3,5.2,58.99,0,1,1,san noodle,,1,3
584,San Egg Noodle,8.0,1.4,77.0,3.34,353.0,90.27,7.1,58.97,1,1,1,san egg noodle,1,1,3
585,Steam Chau Chau (dear Brand Colied),8.3,0.3,77.4,3.02,345.0,29.0,1.5,58.99,1,0,0,steam chau chau (dear brand colied),1,,
586,Yak Noodle,8.6,0.2,76.5,3.11,340.0,47.0,10.0,58.99,0,1,1,yak noodle,,1,3
587,Annapurna steam No.,10.9,0.3,76.0,3.06,352.0,35.0,0.5,58.98,1,0,0,annapurna steam no.,1,,
588,S.- Noodle coiled Singapore,8.3,0.2,79.0,2.94,351.0,12.1,1.7,58.98,0,1,1,s.- noodle coiled singapore,,1,3
589,Saugat,2.0,0.6,84.0,3.09,349.0,40.0,2.2,58.98,1,0,0,saugat,1,,
590,Gimi Spaghetti,8.0,0.19,83.0,2.97,364.0,15.3,0.6,58.96,1,0,0,gimi spaghetti,1,,
591,Gimi Short Noodle Chicken Soup Base (Zebra),19.81,0.23,80.0,2.97,360.0,15.3,0.7,58.97,0,1,1,gimi short noodle chicken soup base (zebra),,2,0
592,Chicken Cracker,16.7,19.4,57.2,3.04,470.0,23.4,6.3,58.81,0,1,1,chicken cracker,,3,2
593,Pra''ii Cracker,7.4,20.9,61.3,3.14,463.0,43.7,5.0,58.82,1,0,0,pra''ii cracker,1,,
594,Paprika Cracker (Thai),6.1,24.2,62.0,3.55,490.0,121.0,1.3,58.77,1,0,0,paprika cracker (thai),1,,
595,Shrimp Cracker (Thai),5.1,21.2,65.4,4.13,473.0,236.0,2.0,58.78,1,0,0,shrimp cracker (thai),1,,
596,Shrimp Cracker (Korea),4.4,17.95,70.3,3.74,459.0,160.0,8.25,58.81,1,0,0,shrimp cracker (korea),1,,
597,Prawn Cracker raw (China),2.5,0.26,81.1,3.2,337.0,65.0,5.1,58.99,0,1,1,prawn cracker raw (china),,1,3
588,Cheese Ball Hello,5.1,19.0,68.0,3.36,463.0,86.0,2.8,58.81,1,1,1,cheese ball hello,1,3,2
599,Cheese Ball Hello (India),4.8,20.0,68.0,3.5,471.0,113.0,3.4,58.8,1,1,1,cheese ball hello (india),1,3,2
600,Girni Short Macaroni (Nes),8.2,0.21,84.5,2.99,373.0,17.8,2.1,58.95,1,0,0,girni short macaroni (nes),1,,
601,Bambion Macaroni (India),5.6,0.19,82.5,3.02,354.0,26.2,0.6,58.97,1,0,0,bambion macaroni (india),1,,
602,Ma Ma cut Macaroni (india),9.3,0.2,75.0,2.91,339.0,8.3,4.51,59.0,1,0,0,ma ma cut macaroni (india),1,,
603,Rice vermiealli (Thai),6.6,0.12,81.0,2.93,351.0,9.0,2.2,58.98,0,1,1,rice vermiealli (thai),,1,3
604,Special Pasta,4.0,0.5,84.0,2.94,354.0,10.6,3.9,58.98,1,0,0,special pasta,1,,
605,Vegetable Pasta,6.1,1.45,81.0,3.06,361.0,34.0,0.3,58.96,0,1,1,vegetable pasta,,1,3
606,Pasta / (Enrico Nepal),11.8,1.3,73.0,2.96,351.0,17.6,2.9,58.98,1,0,0,pasta / (enrico nepal),1,,
607,Wai Wai,7.68,20.0,66.4,0.15,476.0,87.0,4.4,58.79,1,0,0,wai wai,1,,
608,Aaha,10.36,11.1,73.0,0.09,433.0,28.0,1.09,58.86,1,0,0,aaha,1,,
609,New Ma Ma,7.7,21.3,64.7,3.01,481.0,15.2,4.9,58.8,1,0,0,new ma ma,1,,
610,Hits Noodle,8.3,18.6,62.3,2.99,450.0,14.3,2.6,58.84,0,1,1,hits noodle,,3,2
611,Min Min,7.7,18.1,67.0,3.08,462.0,29.7,3.5,58.82,1,0,0,min min,1,,
612,Fe Mee,7.3,19.8,67.0,3.0,475.0,14.3,2.6,58.81,1,0,0,fe mee,1,,
613,Yom Yum (Snack Noodle),7.3,18.6,68.0,3.08,469.0,29.7,0.9,58.81,0,1,1,yom yum (snack noodle),,3,2
614,Yam Yam,8.07,18.1,67.0,0.19,463.0,44.0,0.86,58.82,1,0,0,yam yam,1,,
615,Muesli,10.06,5.6,75.0,2.07,390.0,220.0,1.0,58.9,1,0,0,muesli,1,,
616,Protein supplement powder,3.8,6.78,19.33,6.36,151.35,717.0,23.8,59.17,1,0,0,protein supplement powder,0,,
617,High energy soya biscuit,6.8,16.5,69.9,1.55,455.0,104.2,7.11,58.82,1,0,0,high energy soya biscuit,1,,
618,High energy Khajuri biscuit,8.4,22.8,64.6,1.5,497.0,115.99,7.55,58.76,1,0,0,high energy khajuri biscuit,1,,
619,Coffee with pulp,7.83,1.13,66.5,7.63,307.0,97.77,5.99,59.03,1,0,0,coffee with pulp,1,,
620,Coffee without pulp,7.0,1.08,73.2,1.7,330.0,63.41,5.52,59.0,1,0,0,coffee without pulp,1,,
621,Coffee powder refined,13.42,15.41,61.4,3.78,438.0,171.13,8.23,58.84,1,0,0,coffee powder refined,1,,
622,Nutrimixed,18.52,7.25,63.0,1.5,391.0,116.9,6.89,49.38,1,0,0,nutrimixed,1,,
